SPY,EFA,EEM,TLT,LQD
83.588203,30.50075,14.987174,51.077877,55.464878
83.715721,30.560217,15.013154,51.14119,55.534294
83.91407,30.698942,15.172997,51.14119,55.529316
83.850304,30.877321,15.424957,50.807293,55.330994
83.467712,30.976402,15.33047,50.266094,54.894684
83.524399,30.768312,15.35882,50.053074,54.964069
84.473808,31.303408,15.476139,49.975014,54.931232
84.544609,31.253864,15.4533,49.772686,54.757004
84.487984,31.440159,15.523385,50.547333,55.065609
84.459618,31.247917,15.501336,50.720722,55.219891
83.673195,31.077484,15.263547,50.784325,55.349331
84.162033,31.055683,15.183234,51.576305,55.538467
84.459618,30.926853,14.935992,51.235222,55.667881
84.544609,30.623636,14.921029,51.36245,55.692776
85.281502,31.085409,15.147804,51.472263,55.802307
85.579063,31.095316,15.287169,51.674599,55.827164
85.642807,31.28359,15.498971,52.142799,56.125816
85.593216,31.085409,15.421021,51.374001,55.64299
85.022316,30.996218,15.385592,51.304592,55.702721
85.043663,31.279629,15.586383,51.397121,55.662895
85.69857,31.499611,15.735977,51.553196,55.687782
85.905014,31.54718,15.73204,51.379765,55.747551
85.969078,31.754248,15.839077,51.212097,55.847061
85.791107,32.003761,15.827117,50.813248,55.548439
86.260925,32.217075,15.909224,50.772766,55.608147
86.389046,32.062126,15.996888,50.720722,55.523556
86.225311,32.066151,15.956242,51.061806,55.722641
86.040276,32.247253,16.087749,51.383919,55.728619
85.634514,32.015835,15.920376,51.494148,56.088425
84.58812,31.402088,15.430212,50.954441,55.773594
84.004387,31.381966,15.241323,51.227196,55.818558
84.431473,31.381966,15.230959,51.261986,55.85854
84.310478,31.24111,15.260448,51.378071,55.833637
84.709122,31.381966,15.279573,51.45932,55.738621
84.125404,31.321598,15.250883,51.761044,55.868488
84.403008,31.573135,15.438183,51.830688,55.923523
83.726776,31.301476,15.374425,52.329762,56.073387
84.168114,31.452396,15.649389,52.323956,56.138367
85.043663,31.476545,15.621496,52.497993,56.168327
84.153885,31.150543,15.406299,52.648891,56.253288
83.641342,30.943283,15.215014,52.753334,56.153362
83.128815,31.066023,15.422245,52.811378,56.278271
82.96508,31.120363,15.398327,53.037647,56.378223
83.199982,31.130428,15.537808,52.538631,56.188385
83.449142,31.506721,15.764958,52.637287,56.208298
83.591537,31.553017,15.780103,52.538631,56.088425
83.591537,31.482588,15.794447,53.066734,56.413174
84.111183,31.633503,16.002472,53.217556,56.413174
84.645065,31.830704,16.139561,53.133091,56.401695
84.901314,31.874987,16.190567,53.255447,56.351494
84.680634,31.701923,16.173826,53.226311,56.421692
85.584679,31.864927,16.426483,53.966038,56.602291
85.470787,31.663687,16.478285,54.367931,56.622349
85.570442,31.663687,16.51017,54.67667,56.82803
84.929787,31.5832,16.456762,54.8223,57.028625
85.235901,31.911201,16.536469,54.082512,56.82803
85.969078,32.132549,16.697466,54.047558,56.662495
85.905014,32.382076,16.81702,54.21656,56.757801
86.225311,32.599415,16.856869,53.942738,56.672512
86.28228,32.311653,16.805063,53.738907,56.401695
85.584679,32.378059,16.777168,53.401054,56.276245
